certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
782/2016,2018-08-01,,"usd 51,479,930.17",jbs s.a.,"corporación venezolana de comercio exterior  corpovex.  
república bolivariana da venezuela, por intermédio do ministerio del poder popular para la economía,","bank of china linited, panama brach.",venezuela,"exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","bank of china linited, panama brach.",buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,28/01/2016 - 133ª ro,cofig/camex,sim,sim,2399978,2906821,eduardo,,jbs sa,bolivariana comercio corporacion corpovex da de del do economia exterior intermedio la ministerio para poder popular por republica venezolana venezuela,bank brach china linited of panama,2018.0,2016.0,Agronegócio
477/2009,2018-08-01,,"usd 536,583.54",construtora norberto odebrecht s.a.,c.a. metro de caracas,construtora norberto odebrecht s.a.,venezuela,bens e serviços brasileiros para as obras de construção da linha v do metrô de caracas,banco nacional de desenvolvimento econômico e social - bndes,supplierss credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,sim,3992541,não,thayana,,construtora norberto odebrecht sa,ca caracas de metro,construtora norberto odebrecht sa,2018.0,2009.0,Construção Civil
783/2016,2018-08-01,,"usd 12,867,203.57",jbs s.a.,"corporación venezolana de comercio exterior  corpovex.  
república bolivariana da venezuela, por intermédio do ministerio del poder popular para la economía,","bank of china limited, grand cayman branch.",venezuela,"exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","bank of china limited, grand cayman branch.",buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,28/01/2016 - 133ª ro,cofig/camex,sim,sim,7607437,7607437,thayana,,jbs sa,bolivariana comercio corporacion corpovex da de del do economia exterior intermedio la ministerio para poder popular por republica venezolana venezuela,bank branch cayman china grand limited of,2018.0,2016.0,Agronegócio
565/2010,2018-08-01,,"usd 2,652,450.82",construtora andrade gutierrez s.a.,"república bolivariana da venezuela, por intermédio do ministério del poder popular de planificación empresa de producción social siderúrgica nacional, c.a.",construtora andrade gutierrez s.a.,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,não,não,2906671,2906671,eduardo,o tq informa como data de pagamento o dia 21. verificar se está correta.,andrade construtora gutierrez sa,bolivariana ca da de de del do empresa intermedio ministerio nacional planificacion poder popular por produccion republica siderurgica social venezuela,andrade construtora gutierrez sa,2018.0,2010.0,Construção Civil
478/2009,2018-08-01,,"usd 3,004,248.27",construtora norberto odebrecht s.a.,c.a. metro los teques,construtora norberto odebrecht s.a.,venezuela,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,sim,4031041,não,ana,,construtora norberto odebrecht sa,ca los metro teques,construtora norberto odebrecht sa,2018.0,2009.0,Equipamentos
791/2016,,,"usd 84,664.25",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,verificar arquivos no ministério,-,1656736,1656751,ana,,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,,2016.0,Equipamentos
518/2009,2018-01-05,,"usd 4,743,277.76",construtora norberto odebrecht s.a.,"aeroportos de moçambique, e.p.  adm",banco nacional de desenvolvimento econômico e social - bndes,moçambique,bens e prestação serviços destinados à construção do aeroporto internacional de nacala,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,29/01/10 - 66ª ro,cofig/camex,,,,,,,construtora norberto odebrecht sa,adm aeroportos de ep mocambique,banco bndes de desenvolvimento e economico nacional social,2018.0,2009.0,Construção Civil
683/2012,2018-01-05,,"usd 2,555,671.04",construtora norberto odebrecht s.a.,"aeroportos de moçambique, e.p.  adm",banco nacional de desenvolvimento econômico e social - bndes,moçambique,complementação das obras para ampliação da capacidade do aeroporto internacional de nacala.,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,27/06/12 - 95ª ro,cofig/camex,,,,,,,construtora norberto odebrecht sa,adm aeroportos de ep mocambique,banco bndes de desenvolvimento e economico nacional social,2018.0,2012.0,Construção Civil
0078/2017 op 1442,2018-01-04,,"usd 74,277.62",kohler implementos agrícolas eireli,trac21 s.r.l.,kohler implementos agrícolas eireli,bolívia,equipamentos agrícolas,banco do brasil s.a. (proex),pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,17/10/2017,sain/mf,,,não,não,ana,12120.100030/2017-94,agricolas eireli implementos kohler,srl trac,agricolas eireli implementos kohler,2018.0,2017.0,Agronegócio
791/2016,2018-12-05,,"usd 58,722.94",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,verificar arquivos no ministério,-,1656708,1656721,ana,"diferença de 0,1 centavo",jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,2018.0,2016.0,Equipamentos
0086/2017,2018-02-05,,"usd 32,366.88",unipelli indústria química ltda.,lgc leather s.a.s,unipelli indústria química ltda.,colômbia,produtos químicos,recursos próprios,pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,28/11/2017,sain/mf,,,não,não,ana,12120.100124/2018-44,industria quimica unipelli,leather lgc sas,industria quimica unipelli,2018.0,2017.0,Produtos
685/2012,,,"usd 24,832.64",flexo tech industrial ltda.,plásticos industrializados rangel s.a. de c.v.,banco do brasil s.a. (proex),méxico,impressora flexográfica 8 cores laminadora solvente less - ncm,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,,,não,não,ana,pedir para abgf,flexo industrial tech,cv de industrializados plasticos rangel sa,banco brasil do proex sa,,2012.0,Produtos
566/2010,2018-08-05,,"usd 19,238,474.97",construtora andrade gutierrez s.a.,"petróleos de venezuela, s.a (pdvsa)",banco nacional de desenvolvimento econômico e social - bndes,venezuela,"bens e serviços destinados à construção do estaleiro del alba (astialba), na península de araya, no estado sucre, na república bolivariana da venezuela.",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,sim,sim,1461420,1461420,thayana,,andrade construtora gutierrez sa,de pdvsa petroleos sa venezuela,banco bndes de desenvolvimento e economico nacional social,2018.0,2010.0,Construção Civil
695/2012,2018-08-05,,"usd 14,569,310.21",embraer s.a.,conviasa - consorcio venezolano de indústrias aeronáuticas y servicios aéreos s.a.,banco nacional de desenvolvimento econômico e social - bndes,venezuela,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,à vista,30/01/2013 - 101ª ro,cofig/camex,sim,sim,7830296,7830296,eduardo,,embraer sa,aereos aeronauticas consorcio conviasa de industrias sa servicios venezolano y,banco bndes de desenvolvimento e economico nacional social,2018.0,2012.0,Aeronaves
776/2015,2018-08-05,,"usd 4,276,813.60",jbs s.a.,"corporación venezolana de comercio exterior  corpovex.  
república bolivariana da venezuela, por intermédio do ministerio del poder popular para la economía,",credit suisse brazil (bahamas) limited,venezuela,"exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).",credit suisse brazil (bahamas) limited,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,26/08/2015 - 128ª ro,cofig/camex,sim,sim,2091818,2091818,eduardo,,jbs sa,bolivariana comercio corporacion corpovex da de del do economia exterior intermedio la ministerio para poder popular por republica venezolana venezuela,bahamas brazil credit limited suisse,2018.0,2015.0,Agronegócio
782/2016,2018-08-05,,"usd 3,014,457.19",jbs s.a.,"corporación venezolana de comercio exterior  corpovex.  
república bolivariana da venezuela, por intermédio do ministerio del poder popular para la economía,","bank of china linited, panama brach.",venezuela,"exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","bank of china linited, panama brach.",buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,28/01/2016 - 133ª ro,cofig/camex,não,não,2906821,2906821,eduardo,,jbs sa,bolivariana comercio corporacion corpovex da de del do economia exterior intermedio la ministerio para poder popular por republica venezolana venezuela,bank brach china linited of panama,2018.0,2016.0,Agronegócio
783/2016,2018-08-05,,"usd 753,614.27",jbs s.a.,"corporación venezolana de comercio exterior  corpovex.  
república bolivariana da venezuela, por intermédio do ministerio del poder popular para la economía,","bank of china limited, grand cayman branch.",venezuela,"exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","bank of china limited, grand cayman branch.",buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,28/01/2016 - 133ª ro,cofig/camex,não,não,7607602,7607602,thayana,,jbs sa,bolivariana comercio corporacion corpovex da de del do economia exterior intermedio la ministerio para poder popular por republica venezolana venezuela,bank branch cayman china grand limited of,2018.0,2016.0,Agronegócio
791/2016,,,"usd 83,870.44",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,verificar arquivos no ministério,,não,não,ana,,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,,2016.0,Equipamentos
0097/2018 op 1664,,,"usd 19,839.20",móveis dalla costa ltda.,fard llc / versailles gallery inc.,móveis dalla costa ltda.,estados unidos,móveis e material de escritório,recursos próprios,pós-embarque com recursos próprios do exportador,"riscos comerciais, políticos e extraordinários",à vista,29/11/2017,sain/mf,,,não,não,ana,12120.101235/2018-78,costa dalla moveis,fard gallery inc llc versailles,costa dalla moveis,,2018.0,Produtos
791/2016,2018-09-08,,"usd 166,407.85",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,verificar arquivos no ministério,,não,não,ana,,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,2018.0,2016.0,Equipamentos
