Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
782/2016,08/09/2017,01/02/2018,"USD 4,284,416.64",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,","Bank of China Linited, Panama Brach.",Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","Bank of China Linited, Panama Brach.",Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,28/01/2016 - 133ª RO,Cofig/Camex,sim,sim,2399921,7631189,Eduardo,Temos 3 notas promissórias referentes aos títulos de principal. Estão faltando as notas dos títulos de juros. O Ofício 43/2018 da ABGF menciona que o banco apresentou 6 notas autenticadas. Verificar se estão no arquivo físico SUCEX.
783/2016,08/09/2017,01/02/2018,"USD 1,071,104.32",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,","Bank of China Limited, Grand Cayman Branch.",Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","Bank of China Limited, Grand Cayman Branch.",Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,28/01/2016 - 133ª RO,Cofig/Camex,sim,sim,7607207,7607207,Thayana,"Os titulos de credito somam USD 12.493.556,68. O Documento 2400287 que consta no SEI está incompleto. Temos 3 notas promissórias referentes aos títulos de principal. Estão faltando as notas dos títulos de juros. "
791/2016,24/06/2017,19/02/2018,"USD 85,458.04",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,-,1656727,1656730,Ana ,"Diferença de 0,1 centavo"
565/2010,08/09/2017,01/03/2018,"USD 1,030,281.12",Construtora Andrade Gutierrez S.A.,"República Bolivariana da Venezuela, por intermédio do Ministério Del Poder Popular De Planificación Empresa De Producción Social Siderúrgica Nacional, C.A. ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Recursos próprios,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,sim,sim,2400623,Não,Eduardo,"O TQ informa como data de pagamento o dia 12/06/2018, enquanto o prazo era 07/03. Verificar se o TQ está correto."
477/2009,08/09/2017,05/03/2018,"USD 707,708.97",Construtora Norberto Odebrecht S.A.,C.A. Metro de Caracas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Bens e serviços brasileiros para as obras de construção da linha V do metrô de Caracas  ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Suppliers’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,não,1461139,não,Thayana ,
478/2009,08/09/2017,05/03/2018,"USD 1,975,460.10",Construtora Norberto Odebrecht S.A.,C.A. Metro Los Teques,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,não,1987782,1987782,Ana,
695/2012,08/09/2017,05/03/2018,"USD 404,409.91",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,sim,sim,7829585,7829585,Eduardo,
791/2016,13/08/2017,22/03/2018,"USD 168,940.70",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,-,1656680/1656759,1656697/1656769,Ana ,Soma de duas parcelas
0072/2017 op 1201,04/12/2017,23/03/2018,"USD 23,040.00",Biatex Impregnadora Ltda.,Ficacel S.A.,Biatex Impregnadora Ltda.,Argentina,Lâminas de E.V.A. (laminado sintético de borracha) para confecção de palmilhas de calçados ,Recursos próprios,Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,27/07/2017,SAIN/MF,,,0738046,não,Thayana,
0072/2017 op 1306,04/12/2017,23/03/2018,"USD 14,321.03",Biatex Impregnadora Ltda.,Ficacel S.A.,Biatex Impregnadora Ltda.,Argentina,Lâminas de E.V.A. (laminado sintético de borracha) para confecção de palmilhas de calçados ,Recursos próprios,Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,22/08/2017,SAIN/MF,,,0738034,não ,Thayana,
0072/2017 op 1202,15/01/2018,02/05/2018,"USD 22,068.00",Biatex Impregnadora Ltda.,Ficacel S.A.,Biatex Impregnadora Ltda.,Argentina,Lâminas de E.V.A. (laminado sintético de borracha) para confecção de palmilhas de calçados ,Recursos próprios,Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,27/07/2017,SAIN/MF,,,não,não,Thayana,12120.100480/2018-68. 
477/2009,08/01/2018,01/06/2018,"USD 18,538,463.81",Construtora Norberto Odebrecht S.A.,C.A. Metro de Caracas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Bens e serviços brasileiros para as obras de construção da linha V do metrô de Caracas  ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Suppliers’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,sim,1461139,não,Thayana ,
478/2009,08/01/2018,01/06/2018,"USD 51,717,919.42",Construtora Norberto Odebrecht S.A.,C.A. Metro Los teques,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,sim,não,não,Ana,
565/2010,08/01/2018,01/06/2018,"USD 29,154,372.09",Construtora Andrade Gutierrez S.A.,"República Bolivariana da Venezuela, por intermédio do Ministério Del Poder Popular De Planificación Empresa De Producción Social Siderúrgica Nacional, C.A. ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO ,Cofig/Camex,não,não,Não,Não,Eduardo,
566/2010,08/01/2018,01/06/2018,"USD 19,768,120.78",Construtora Andrade Gutierrez S.A.,"Petróleos de Venezuela, S.A (PDVSA)",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,"Bens e serviços destinados à construção do Estaleiro Del Alba (Astialba), na Península de Araya, no Estado Sucre, na República Bolivariana da Venezuela.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,sim,não,1461420,não,Thayana ,
695/2012,08/01/2018,01/06/2018,"USD 15,668,348.88",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,sim,sim,7830212,7830212,Eduardo,
776/2015,08/01/2018,01/06/2018,"USD 73,038,047.31",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,",Credit Suisse Brazil (Bahamas) Limited,Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).",Credit Suisse Brazil (Bahamas) Limited,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme desembolsos,26/08/2015 - 128ª RO,Cofig/Camex,sim,sim,1461580,1461580,Ana,
782/2016,08/01/2018,01/06/2018,"USD 51,479,930.17",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,","Bank of China Linited, Panama Brach.",Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","Bank of China Linited, Panama Brach.",Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,28/01/2016 - 133ª RO,Cofig/Camex,sim,sim,2399978,2906821,Eduardo,
477/2009,08/01/2018,02/06/2018,"USD 536,583.54",Construtora Norberto Odebrecht S.A.,C.A. Metro de Caracas,Construtora Norberto Odebrecht S.A.,Venezuela,Bens e serviços brasileiros para as obras de construção da linha V do metrô de Caracas  ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Suppliers’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,sim,3992541,não,Thayana ,
783/2016,08/01/2018,04/06/2018,"USD 12,867,203.57",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,","Bank of China Limited, Grand Cayman Branch.",Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","Bank of China Limited, Grand Cayman Branch.",Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,28/01/2016 - 133ª RO,Cofig/Camex,sim,sim,7607437,7607437,Thayana,
565/2010,08/01/2018,12/06/2018,"USD 2,652,450.82",Construtora Andrade Gutierrez S.A.,"República Bolivariana da Venezuela, por intermédio do Ministério Del Poder Popular De Planificación Empresa De Producción Social Siderúrgica Nacional, C.A. ",Construtora Andrade Gutierrez S.A.,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,não,não,2906671,2906671,Eduardo,O TQ informa como data de pagamento o dia 21. Verificar se está correta.
