Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
533/2010,15/12/2018,11/07/2019,"USD 41,966.68",Himapel Máquinas Industriais Ltda.,Quimimpex,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
536/2010,15/12/2018,11/07/2019,"USD 72,742.30",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
536/2010,15/04/2019,11/07/2019,"USD 46,283.47",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
537/2010,15/12/2018,11/07/2019,"USD 91,236.29",F.M. Coempar Comercial Ltda.,Empresa Importadora General Del Transporte E.I.G.T.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equpamentos destinados ao transporte de grãos refrigerados (Projeto Arroz),Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2010 - 66ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
553/2010,15/12/2018,11/07/2019,"USD 197,699.15",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras modelo CASE A700 e suas peças de reposição,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,27/10/2010 - 75ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
662/2012,15/12/2018,11/07/2019,"USD 17,834.68",BRN Internacional Indústria e Comércio Ltda.,Azuimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Sonda oblíqua e kit peças de reposição, ambos destinados ao projeto de açúcar",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,28/03/2012 - 92ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
771/2015,15/12/2018,11/07/2019,"USD 30,503.64",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
539/2010,15/12/2018,11/07/2019,"USD 29,880.74",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras e tratores, suas peças de reposição e ferramentas",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,,,,
518/2009,15/05/2019,31/07/2019,"USD 4,594,352.09",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Bens e prestação serviços destinados à construção do Aeroporto Internacional de Nacala,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos Políticos e Extraordinários,Conforme os desembolsos,29/01/10 - 66ª RO,Cofig/Camex,,,,,,
683/2012,15/05/2019,31/07/2019,"USD 2,480,546.21",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM      ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Complementação das obras para ampliação da capacidade do Aeroporto Internacional de Nacala.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,27/06/12 - 95ª RO,Cofig/Camex,,,,,,
400/2008,15/01/2019,08/08/2019,"USD 484,489.29",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
401/2008,15/01/2019,08/08/2019,"USD 660,750.73",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas colheitadeiras ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
402/2008,15/01/2019,08/08/2019,"USD 181,915.88",CNH Latin America Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas colheitadeiras ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
404/2008,15/01/2019,08/08/2019,"USD 1,944,986.38",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
411/2008,15/05/2019,08/08/2019,"USD 7,438.75",F.M. Coempar Comercial Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
417/2008,15/01/2019,08/08/2019,"USD 37,653.63",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
419/2008,15/01/2019,08/08/2019,"USD 168,652.16",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
419/2008,15/05/2019,08/08/2019,"USD 29,777.71",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
426/2008,15/05/2019,08/08/2019,"USD 103,320.29",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
431/2008,15/01/2019,08/08/2019,"USD 42,366.46",Basim Máquinas S.A.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquina enchedora e fechadora de ampolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
434/2008,15/05/2019,08/08/2019,"USD 56,228.01",Thyssenkrupp Elevadores S.A.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elevadores para a modernização de hotéis,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
437/2008,15/01/2019,08/08/2019,"USD 62,050.67",Campak Brasil S.A.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas encartuchadoras,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
511/2009,15/01/2019,08/08/2019,"USD 194,910.24",Fabrima Máquinas Automáticas Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Sistema de fabricação e acondicionamento de comprimidos ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,10/11/2009 - 64ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
511/2009,15/05/2019,08/08/2019,"USD 65,400.02",Fabrima Máquinas Automáticas Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Sistema de fabricação e acondicionamento de comprimidos ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,10/11/2009 - 64ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
533/2010,15/01/2019,08/08/2019,"USD 84,329.81",Himapel Máquinas Industriais Ltda.,Quimimpex,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
536/2010,15/01/2019,08/08/2019,"USD 37,236.09",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
536/2010,15/05/2019,08/08/2019,"USD 67,559.02",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
538/2010,15/01/2019,08/08/2019,"USD 42,556.60",CNH Latin América Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,16/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
585/2010,15/01/2019,08/08/2019,"USD 103,513.20",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
585/2010,15/05/2019,08/08/2019,"USD 7,882.48",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
611/2011,15/01/2019,08/08/2019,"USD 47,021.37",Volvo do Brasil Veículos Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Caminhões com implemento compactador de resíduos sólidos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/01/2011 - 78ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
653/2011,15/01/2019,08/08/2019,"USD 6,019,723.33",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Materiais, equipamentos e serviços destinados à obras",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,22/11/2011 - 88ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
663/2012,15/01/2019,08/08/2019,"USD 150,394.89",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,13/03/2012 - 92ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
689/2012,15/05/2019,08/08/2019,"USD 76,691.08",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
700/2012,15/01/2019,08/08/2019,"USD 155,911.58",Nogueira Indústria e Comércio de Implementos e Máquinas Agrícolas S.A.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Componentes para máquinas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/10/2012 - 99ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
704/2013,15/01/2019,08/08/2019,"USD 227,269.10",Volvo do Brasil Veículos Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Escavadeiras, motoniveladoras e acessórios",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,14/02/2013 - 102ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
771/2015,15/01/2019,08/08/2019,"USD 121,171.21",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
791/2016,07/05/2019,15/08/2019,"USD 57,769.70",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,,não ,não,Ana ,
758/2014,07/05/2019,16/08/2019,"USD 3,900.01",Irrigaplan Indústria e Comércio de Equip. de Irrigação Ltda.,Esencial S.R.L.,Banco do Brasil S.A. (PROEX),Bolívia,Fornecimento de equipamentos para irrigação por gotejamento.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/05/2015,SAIN/MF,sim,sim,4023330,4023330,Ana,Verificar arquivos no Ministério
758/2014,07/05/2019,16/08/2019,"USD 5,121.10",Irrigaplan Indústria e Comércio de Equip. de Irrigação Ltda.,Esencial S.R.L.,Banco do Brasil S.A. (PROEX),Bolívia,Fornecimento de equipamentos para irrigação por gotejamento.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/05/2015,SAIN/MF,sim,sim,4024195,4024195,Ana,Verificar arquivos no Ministério
758/2014,07/05/2019,16/08/2019,"USD 11,508.56",Irrigaplan Indústria e Comércio de Equip. de Irrigação Ltda.,Esencial S.R.L.,Banco do Brasil S.A. (PROEX),Bolívia,Fornecimento de equipamentos para irrigação por gotejamento.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/05/2015,SAIN/MF,sim,sim,4023486,4023486,Ana,Verificar arquivos no Ministério
758/2014,15/05/2019,16/08/2019,"USD 23,041.85",Irrigaplan Indústria e Comércio de Equip. de Irrigação Ltda.,Esencial S.R.L.,Banco do Brasil S.A. (PROEX),Bolívia,Fornecimento de equipamentos para irrigação por gotejamento.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/05/2015,SAIN/MF,sim,sim,4024286,4024286,Ana,Verificar arquivos no Ministério
402/2008,15/06/2019,06/09/2019,"USD 13,747.69",CNH Latin America Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas colheitadeiras ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
411/2008,15/02/2019,06/09/2019,"USD 32,336.49",F.M. Coempar Comercial Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
411/2008,15/06/2019,06/09/2019,"USD 36,123.51",F.M. Coempar Comercial Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
419/2008,15/06/2019,06/09/2019,"USD 62,844.83",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
420/2008,15/06/2019,06/09/2019,"USD 38,367.91",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
426/2008,15/02/2019,06/09/2019,"USD 71,737.64",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
426/2008,15/06/2019,06/09/2019,"USD 69,458.72",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
523/2010,15/06/2019,06/09/2019,"USD 73,113.01",Armco Staco S.A. - Indústria Metalúrgica,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/01/2010 - 66ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
524/2010,15/06/2019,06/09/2019,"USD 12,625.04",Armco Staco S.A. - Indústria Metalúrgica,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/01/2010 - 66ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
533/2010,15/06/2019,06/09/2019,"USD 41,143.78",Himapel Máquinas Industriais Ltda.,Quimimpex,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
535/2010,15/02/2019,06/09/2019,"USD 17,827.89",Interunion Comércio Internacional Ltda.,Azuimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Hidrolizador de bagaço de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,31/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
536/2010,15/06/2019,06/09/2019,"USD 71,650.06",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
538/2010,15/06/2019,06/09/2019,"USD 628,054.34",CNH Latin América Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,16/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
539/2010,15/06/2019,06/09/2019,"USD 29,332.25",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras e tratores, suas peças de reposição e ferramentas",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
581/2010,15/06/2019,06/09/2019,"USD 40,407.27",Armco Staco S.A. - Indústria Metalúrgica,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,14/07/2010 - 72ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
582/2010,15/06/2019,06/09/2019,"USD 88,082.82",Industrial Pagé Ltda.,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas para secagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,27/10/2010 - 75ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
689/2012,15/06/2019,06/09/2019,"USD 119,148.38",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
697/2012,15/02/2019,06/09/2019,"USD 36,460.37",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
