"exportador";"cnpj_do_exportador";"porte_do_exportador";"descricao_da_operacao";"uf";"pais_destino_das_exportacoes";"numero_da_operacao";"data_da_contratacao";"valor_da_operacao_em_um";"valor_desembolsado_em_um";"moeda_sigla";"fonte_de_recursos_desembolsos";"custo_financeiro";"juros";"prazo_total_meses";"setor_subsetor_de_atividade";"area_operacional";"modalidade_de_apoio";"forma_de_apoio";"produto";"modalidade_operacional";"mutuario";"categoria";"situacao_da_operacao";"tipo_de_garantia"
"ENGEVIX ENGENHARIA S/A";"00.103.582/0001-31";"GRANDE";"Exportação de bens e serviços para o Projeto de Manabi - Transposição Rios Chone e Portoviejo";"SP";"EQUADOR";565900;"1999-02-10";"3000000,0";"2999999,9899999998";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"5,375";168;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1999-02-22";"2800033,71";"2800033,71";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,4375";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1999-03-12";"1551308,72";"1551308,72";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,375";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTACAO DE BENS E SERVICOS PARA O PROJETO ÁGUAS DE MALDONADO";"RJ";"URUGUAI";575297;"1999-03-22";"316368,0";"316368,0";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"5,375";132;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTACAO DE BENS E SERVICOS PARA O PROJETO ÁGUAS DE MALDONADO";"RJ";"URUGUAI";575297;"1999-03-22";"345855,37";"345855,37";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"5,375";132;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"MULTITRADE S/A";"15.144.298/0001-80";"GRANDE";"Exportação de bens e serviços para construção da Rodovia Inter-oceânica ";"RJ";"EQUADOR";551515;"1999-03-29";"375838,93";"375838,93";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,375";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTACAO DE BENS E SERVICOS PARA O PROJETO ÁGUAS DE MALDONADO";"RJ";"URUGUAI";575297;"1999-05-05";"154094,57";"154094,57";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"5,375";132;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTACAO DE BENS E SERVICOS PARA O PROJETO ÁGUAS DE MALDONADO";"RJ";"URUGUAI";575297;"1999-06-07";"476403,97";"476403,97";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"5,75";132;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"1999-08-12";"1562716,44";"1562716,44";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"7,4375";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÕES DE BENS E SERVIÇOS DESTINADOS À CONSTRUCAO E MELHORAMENTO E PAVIMENTACAO ASFALTICA DE RODOVIA ";"RJ";"EQUADOR";608605;"1999-09-08";"1712315,57";"1712315,57";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"8,625";150;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR/ ALADI"
