"exportador";"cnpj_do_exportador";"porte_do_exportador";"descricao_da_operacao";"uf";"pais_destino_das_exportacoes";"numero_da_operacao";"data_da_contratacao";"valor_da_operacao_em_um";"valor_desembolsado_em_um";"moeda_sigla";"fonte_de_recursos_desembolsos";"custo_financeiro";"juros";"prazo_total_meses";"setor_subsetor_de_atividade";"area_operacional";"modalidade_de_apoio";"forma_de_apoio";"produto";"modalidade_operacional";"mutuario";"categoria";"situacao_da_operacao";"tipo_de_garantia"
"CONSTRUTORA ANDRADE GUTIERREZ S/A";"17.262.213/0001-94";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA A 2ª ETAPA DA CONSTRUÇÃO DA VIA EXPRESSA LUANDA/VIANA  PACOTE 1 (2ª LINHA DE CRÉDITO)";"MG";"ANGOLA              ";1817933;"2008-07-21";"30605818,22";"30605818,22";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,441";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA ANDRADE GUTIERREZ S/A";"17.262.213/0001-94";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA A 2ª ETAPA DA CONSTRUÇÃO DA ESTRADA GOLFE/VIANA E RUA DO SANATORIO (2ª LINHA DE CRÉDITO)";"MG";"ANGOLA              ";1817924;"2008-07-22";"17633874,3";"17633874,299999997";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,548";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS DE ENGENHARIA DESTINADOS ·A AMPLIAÇÃO DA CAPACIDADE DE TRANSPORTE DA REDE DE GASODUTOS TRONCAIS DE TGS E TGN, NA ARGENTINA.";"RJ";"ARGENTINA";1458347;"2008-07-24";"12813896,27";"12813896,27";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,397";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-24";"2050425,43";"2050425,43";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,155";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-24";"515070,34";"515070,34";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,155";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-24";"42188,48";"42188,48";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,068";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-25";"42331,3";"42331,3";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,068";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-28";"42451,26";"42451,26";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,068";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-28";"37577,88";"37577,88";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,068";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-28";"13426394,69";"13426394,69";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,397";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-28";"1642408,33";"1642408,33";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,385";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-28";"41811,44";"41811,44";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,068";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-28";"38321,23";"38321,23";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,068";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-30";"10168605,31";"10168605,31";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,397";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-07-30";"1328673,73";"1328673,73";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,385";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA 2ª ETAPA DO SISTEMA DE ABASTECIMENTO DE AGUA POTAVEL ÀS CIDADES DE BENGUELA, LOBITO, CATUMBELA E BAÍA FARTA. (2ª LINHA DE CRÉDITO)";"RJ";"ANGOLA              ";1773162;"2008-08-05";"64660955,11";"64467083,02000001";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,428";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA A 2ª ETAPA DA CONSTRUÇÃO DA ESTRADA DO GOLFE - TROCO GAMEK/ANTIGO CONTROLO. (2ª LINHA DE CRÉDITO)";"RJ";"ANGOLA              ";1817937;"2008-08-05";"1959165,0";"1959165,0";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,428";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA A 2ª ETAPA DA CONSTRUÇÃO DA VIA EXPRESSA LUANDA/VIANA TROÇO 3. (2ª LINHA DE CRÉDITO)";"RJ";"ANGOLA              ";1817938;"2008-08-05";"31324633,02";"31324633,020000003";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,428";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA SISTEMA DE TRANSPORTE DE ENERGIA ELETRICA LUCALA-PAMBOS DE SONHE-UIGE.";"RJ";"ANGOLA              ";1820425;"2008-08-05";"134880203,0";"134147893,26999995";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,428";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA A 2ª ETAPA DA CONSTRUCAO DA VIA EXPRESSA LUANDA/KIFANGONDO - PACOTE1";"RJ";"ANGOLA              ";1817853;"2008-08-06";"36777377,24";"36344156,43";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,45";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA A CONSTRUÇÃO DA 2ª ETAPA  DA AUTO ESTRADA PERIFERICA DE LUANDA FASE 2 C VIANA/CABOLOMBO E LIGAÇÃO CABOLOMBO/FUTUNGO (2ª LINHA DE CRÉDITO)";"RJ";"ANGOLA              ";1817936;"2008-08-20";"82952638,0";"82952638,0";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,384";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS DE ENGENHARIA, OBJETIVANDO DAR CONTINUIDADE A CONSTRUÇÃO DA CENTRAL HIDREL&#144;TRICA DE PINALITO - FASE III";"RJ";"REPUBLICA DOMINICANA";1795527;"2008-08-21";"68096279,0";"67902395,28999999";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,63";144;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"CCR / ALADI"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS DE ENGENHARIA DESTINADOS ·A AMPLIAÇÃO DA CAPACIDADE DE TRANSPORTE DA REDE DE GASODUTOS TRONCAIS DE TGS E TGN, NA ARGENTINA.";"RJ";"ARGENTINA";1458347;"2008-08-27";"10143213,56";"10143213,56";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,792";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS DE ENGENHARIA DESTINADOS ·A AMPLIAÇÃO DA CAPACIDADE DE TRANSPORTE DA REDE DE GASODUTOS TRONCAIS DE TGS E TGN, NA ARGENTINA.";"RJ";"ARGENTINA";1458347;"2008-08-27";"3239869,09";"3239869,09";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,6105";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS DE ENGENHARIA DESTINADOS ·A AMPLIAÇÃO DA CAPACIDADE DE TRANSPORTE DA REDE DE GASODUTOS TRONCAIS DE TGS E TGN, NA ARGENTINA.";"RJ";"ARGENTINA";1458347;"2008-08-27";"2603449,71";"2603449,71";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,6105";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS DE ENGENHARIA DESTINADOS ·A AMPLIAÇÃO DA CAPACIDADE DE TRANSPORTE DA REDE DE GASODUTOS TRONCAIS DE TGS E TGN, NA ARGENTINA.";"RJ";"ARGENTINA";1458347;"2008-08-27";"5451903,73";"5451903,73";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,397";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-08-27";"42039,95";"42039,95";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,068";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA QUEIROZ GALVAO S/A";"33.412.792/0001-60";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA 2ª ETAPA DA CONSTRUCAO DA AUTO-ESTRADA PERIFERICA DE LUANDA - FASE 1C - CACUACO/VIANA (2ª LINHA DE CRÉDITO)";"RJ";"ANGOLA              ";1817935;"2008-10-15";"32010484,57";"32010484,57";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,373";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA QUEIROZ GALVAO S/A";"33.412.792/0001-60";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA A 2ª ETAPA DA CONSTRUCAO DA AVENIDA N'GOLA/KILUANGE (PACOTE 2).";"RJ";"ANGOLA              ";1817851;"2008-10-21";"5889343,07";"5889343,050000001";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,17";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA QUEIROZ GALVAO S/A";"33.412.792/0001-60";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA A 2ª ETAPA DA CONSTRUCAO DA VIA EXPRESSA LUANDA/KIFANGONDO (PACOTE 2).";"RJ";"ANGOLA              ";1817854;"2008-10-21";"27072740,63";"27072740,619999994";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,169";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA QUEIROZ GALVAO S/A";"33.412.792/0001-60";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA  A 2ª ETAPA DA CONSTRUCAO DA AUTO-ESTRADA PERIFERICA DE LUANDA - FASE 1D - CACUACO/VIANA. (2ª LINHA DE CRÉDITO)";"RJ";"ANGOLA              ";1817934;"2008-10-21";"11809195,0";"11809195,000000002";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,169";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
"CONSTRUTORA OAS S/A";"14.310.577/0001-04";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS DE ENGENHARIA DESTINADOS  À RENOVAÇÃO DA REDE DE GÁS MONTEVIDEU ";"SP";"URUGUAI";1728579;"2008-12-17";"444323,95";"444323,95";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"4,3";96;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens e serviços para obras no exterior";"LIQUIDADA";"PESSOAL"
"CONSTRUTORA NORBERTO ODEBRECHT SA";"15.102.288/0001-82";"GRANDE";"EXPORTAÇÃO DE BENS E SERVIÇOS PARA EXPANSÃO DA CAPACIDADE DE TRANSPORTE DE GÁS NATURAL DAS MALHAS DOS GASODUTOS OPERADOS POR TGS E TGN, A SER IMPLEMENTADO PELA DISTRIBUIDORA CAMMESA.";"RJ";"ARGENTINA";1505637;"2008-12-26";"10076609,37";"10076609,37";"US$ COMPRA               ";"RECURSOS LIVRES - FAT CAMBIAL";"TAXA FIXA EM US$";"6,3322";120;"COMERCIO E SERVICOS/CONSTRUÇÃO";"Área de Comércio Exterior";"REEMBOLSÁVEL";"DIRETA";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens e serviços para obras no exterior";"LIQUIDADA";"SEGURO DE CRÉDITO / FGE"
